explo,date,temperature,precipitation,dwd_stations_id
SCH,2007-01-29,2.5,0.5,164
SCH,2007-01-30,4.6,1.1,164
SCH,2007-01-31,5.6,1.8,164
SCH,2007-02-01,4.4,0.0,164
SCH,2007-02-02,5.9,3.5,164
SCH,2007-02-03,5.4,0.0,164
SCH,2007-02-04,5.1,0.0,164
SCH,2007-02-05,1.8,1.0,164
SCH,2007-02-06,1.3,0.0,164
SCH,2007-02-07,-0.3,1.2,164
SCH,2007-02-08,-0.9,2.3,164
SCH,2007-02-09,-1.8,1.8,164
SCH,2007-02-10,-4.8,0.0,164
SCH,2007-02-11,-5.3,3.2,164
SCH,2007-02-12,1.6,3.2,164
SCH,2007-02-13,4.7,0.3,164
SCH,2007-02-14,4.0,7.3,164
SCH,2007-02-15,3.3,6.9,164
SCH,2007-02-16,2.9,0.0,164
SCH,2007-02-17,3.2,0.0,164
SCH,2007-02-18,3.3,0.0,164
SCH,2007-02-19,3.0,0.0,164
SCH,2007-02-20,2.2,0.0,164
SCH,2007-02-21,2.4,9.9,164
SCH,2007-02-22,0.5,1.7,164
SCH,2007-02-23,-4.2,0.0,164
SCH,2007-02-24,-1.6,0.0,164
SCH,2007-02-25,4.6,1.0,164
SCH,2007-02-26,4.6,3.8,164
SCH,2007-02-27,3.1,3.7,164
SCH,2007-02-28,5.9,5.7,164
SCH,2007-03-01,6.7,5.6,164
SCH,2007-03-02,5.1,3.3,164
SCH,2007-03-03,4.3,0.0,164
SCH,2007-03-04,4.4,0.0,164
SCH,2007-03-05,5.0,0.1,164
SCH,2007-03-06,6.9,0.0,164
SCH,2007-03-07,9.3,0.1,164
SCH,2007-03-08,7.0,0.0,164
SCH,2007-03-09,7.5,2.2,164
SCH,2007-03-10,6.6,0.0,164
SCH,2007-03-11,9.0,0.0,164
SCH,2007-03-12,9.5,0.0,164
SCH,2007-03-13,10.8,0.0,164
SCH,2007-03-14,6.8,0.0,164
SCH,2007-03-15,7.1,0.0,164
SCH,2007-03-16,6.9,1.8,164
SCH,2007-03-17,7.1,2.4,164
SCH,2007-03-18,6.7,4.0,164
SCH,2007-03-19,3.4,0.0,164
SCH,2007-03-20,1.4,2.0,164
SCH,2007-03-21,2.2,10.2,164
SCH,2007-03-22,2.9,17.8,164
SCH,2007-03-23,5.6,3.4,164
SCH,2007-03-24,10.1,0.0,164
SCH,2007-03-25,9.1,0.0,164
SCH,2007-03-26,8.4,0.0,164
SCH,2007-03-27,8.5,0.0,164
SCH,2007-03-28,8.9,0.0,164
SCH,2007-03-29,9.9,0.0,164
SCH,2007-03-30,7.6,0.0,164
SCH,2007-03-31,8.8,0.0,164
SCH,2007-04-01,9.0,0.0,164
SCH,2007-04-02,8.7,0.0,164
SCH,2007-04-03,4.6,0.3,164
SCH,2007-04-04,4.1,0.0,164
SCH,2007-04-05,8.7,0.0,164
SCH,2007-04-06,9.1,0.0,164
SCH,2007-04-07,7.0,0.0,164
SCH,2007-04-08,8.1,0.0,164
SCH,2007-04-09,10.4,0.4,164
SCH,2007-04-10,10.4,0.0,164
SCH,2007-04-11,12.3,0.0,164
SCH,2007-04-12,11.5,0.0,164
SCH,2007-04-13,12.2,0.0,164
SCH,2007-04-14,13.4,0.0,164
SCH,2007-04-15,13.5,0.0,164
SCH,2007-04-16,16.2,0.0,164
SCH,2007-04-17,13.2,0.0,164
SCH,2007-04-18,8.3,0.0,164
SCH,2007-04-19,9.6,0.4,164
SCH,2007-04-20,6.4,0.0,164
SCH,2007-04-21,6.0,0.0,164
SCH,2007-04-22,8.6,0.0,164
SCH,2007-04-23,14.6,0.0,164
SCH,2007-04-24,15.2,0.0,164
SCH,2007-04-25,14.7,0.0,164
SCH,2007-04-26,15.9,0.0,164
SCH,2007-04-27,17.1,0.0,164
SCH,2007-04-28,15.0,0.0,164
SCH,2007-04-29,7.5,0.0,164
SCH,2007-04-30,8.0,0.0,164
SCH,2007-05-01,8.1,0.0,164
SCH,2007-05-02,13.0,0.0,164
SCH,2007-05-03,10.8,0.0,164
SCH,2007-05-04,11.9,0.0,164
SCH,2007-05-05,14.1,0.0,164
SCH,2007-05-06,15.9,0.1,164
SCH,2007-05-07,12.1,5.1,164
SCH,2007-05-08,11.2,1.8,164
SCH,2007-05-09,11.5,2.2,164
SCH,2007-05-10,12.1,8.3,164
SCH,2007-05-11,12.4,10.0,164
SCH,2007-05-12,11.0,4.1,164
SCH,2007-05-13,15.7,1.7,164
SCH,2007-05-14,18.0,7.9,164
SCH,2007-05-15,11.1,5.6,164
SCH,2007-05-16,12.2,5.9,164
SCH,2007-05-17,9.9,1.7,164
SCH,2007-05-18,12.1,0.0,164
SCH,2007-05-19,16.3,0.0,164
SCH,2007-05-20,19.2,0.0,164
SCH,2007-05-21,22.1,0.0,164
SCH,2007-05-22,21.1,0.0,164
SCH,2007-05-23,16.3,0.0,164
SCH,2007-05-24,17.9,1.1,164
SCH,2007-05-25,22.7,11.1,164
SCH,2007-05-26,18.7,2.0,164
SCH,2007-05-27,18.4,2.7,164
SCH,2007-05-28,18.6,3.6,164
SCH,2007-05-29,19.2,0.5,164
SCH,2007-05-30,12.7,0.0,164
SCH,2007-05-31,14.2,0.0,164
SCH,2007-06-01,16.2,0.0,164
SCH,2007-06-02,14.7,0.0,164
SCH,2007-06-03,14.9,0.0,164
SCH,2007-06-04,16.0,9.3,164
SCH,2007-06-05,17.7,14.2,164
SCH,2007-06-06,20.4,0.0,164
SCH,2007-06-07,21.8,0.8,164
SCH,2007-06-08,22.8,0.0,164
SCH,2007-06-09,21.0,0.9,164
SCH,2007-06-10,20.9,0.0,164
SCH,2007-06-11,21.6,0.0,164
SCH,2007-06-12,22.5,1.7,164
SCH,2007-06-13,19.1,0.0,164
SCH,2007-06-14,19.6,25.3,164
SCH,2007-06-15,19.2,6.2,164
SCH,2007-06-16,17.8,4.0,164
SCH,2007-06-17,18.8,0.0,164
SCH,2007-06-18,16.4,7.6,164
SCH,2007-06-19,18.1,0.0,164
SCH,2007-06-20,21.1,0.0,164
SCH,2007-06-21,19.5,39.4,164
SCH,2007-06-22,17.1,3.1,164
SCH,2007-06-23,16.0,5.8,164
SCH,2007-06-24,17.5,0.1,164
SCH,2007-06-25,19.6,2.8,164
SCH,2007-06-26,15.7,4.4,164
SCH,2007-06-27,12.6,1.7,164
SCH,2007-06-28,14.1,0.0,164
SCH,2007-06-29,15.0,0.5,164
SCH,2007-06-30,15.9,0.3,164
SCH,2007-07-01,17.3,0.0,164
SCH,2007-07-02,18.9,3.4,164
SCH,2007-07-03,17.7,0.1,164
SCH,2007-07-04,13.9,15.8,164
SCH,2007-07-05,14.5,2.2,164
SCH,2007-07-06,15.9,1.5,164
SCH,2007-07-07,15.8,0.7,164
SCH,2007-07-08,16.3,0.0,164
SCH,2007-07-09,14.8,4.2,164
SCH,2007-07-10,14.2,2.7,164
SCH,2007-07-11,13.8,7.0,164
SCH,2007-07-12,15.2,5.3,164
SCH,2007-07-13,17.3,2.4,164
SCH,2007-07-14,22.9,0.0,164
SCH,2007-07-15,24.2,0.0,164
SCH,2007-07-16,27.6,1.7,164
SCH,2007-07-17,23.1,0.6,164
SCH,2007-07-18,21.1,0.0,164
SCH,2007-07-19,20.5,0.4,164
SCH,2007-07-20,21.0,0.0,164
SCH,2007-07-21,20.6,0.0,164
SCH,2007-07-22,16.2,37.9,164
SCH,2007-07-23,17.9,0.0,164
SCH,2007-07-24,18.1,6.1,164
SCH,2007-07-25,16.5,0.0,164
SCH,2007-07-26,20.0,0.0,164
SCH,2007-07-27,19.8,0.1,164
SCH,2007-07-28,16.8,0.4,164
SCH,2007-07-29,14.8,7.5,164
SCH,2007-07-30,13.5,0.0,164
SCH,2007-07-31,13.9,0.0,164
SCH,2007-08-01,14.6,0.0,164
SCH,2007-08-02,17.9,0.4,164
SCH,2007-08-03,16.4,0.0,164
SCH,2007-08-04,16.5,0.0,164
SCH,2007-08-05,18.9,0.0,164
SCH,2007-08-06,19.3,0.0,164
SCH,2007-08-07,21.8,0.0,164
SCH,2007-08-08,22.2,0.0,164
SCH,2007-08-09,22.7,0.0,164
SCH,2007-08-10,20.4,5.0,164
SCH,2007-08-11,19.7,13.4,164
SCH,2007-08-12,17.5,0.5,164
SCH,2007-08-13,19.0,0.0,164
SCH,2007-08-14,19.2,0.0,164
SCH,2007-08-15,21.4,4.5,164
SCH,2007-08-16,20.1,4.2,164
SCH,2007-08-17,15.5,0.0,164
SCH,2007-08-18,15.8,0.0,164
SCH,2007-08-19,18.4,0.0,164
SCH,2007-08-20,19.2,52.8,164
SCH,2007-08-21,18.8,0.6,164
SCH,2007-08-22,17.4,0.3,164
SCH,2007-08-23,18.9,0.2,164
SCH,2007-08-24,19.6,1.5,164
SCH,2007-08-25,19.1,0.0,164
SCH,2007-08-26,18.1,0.0,164
SCH,2007-08-27,14.2,0.0,164
SCH,2007-08-28,13.3,0.0,164
SCH,2007-08-29,12.3,0.0,164
SCH,2007-08-30,13.1,0.9,164
SCH,2007-08-31,14.3,1.2,164
SCH,2007-09-01,14.7,0.2,164
SCH,2007-09-02,16.1,3.7,164
SCH,2007-09-03,13.3,12.6,164
SCH,2007-09-04,9.4,3.8,164
SCH,2007-09-05,11.2,0.0,164
SCH,2007-09-06,11.9,0.0,164
SCH,2007-09-07,14.2,0.0,164
SCH,2007-09-08,14.8,0.1,164
SCH,2007-09-09,14.2,0.3,164
SCH,2007-09-10,11.5,10.0,164
SCH,2007-09-11,13.0,0.0,164
SCH,2007-09-12,13.3,0.0,164
SCH,2007-09-13,12.1,0.0,164
SCH,2007-09-14,12.6,0.0,164
SCH,2007-09-15,11.9,0.0,164
SCH,2007-09-16,13.6,0.0,164
SCH,2007-09-17,16.8,3.0,164
SCH,2007-09-18,11.6,8.0,164
SCH,2007-09-19,9.6,0.0,164
SCH,2007-09-20,12.3,0.3,164
SCH,2007-09-21,14.7,0.0,164
SCH,2007-09-22,14.6,0.0,164
SCH,2007-09-23,15.8,0.0,164
SCH,2007-09-24,16.6,0.0,164
SCH,2007-09-25,12.1,1.5,164
SCH,2007-09-26,11.9,0.1,164
SCH,2007-09-27,12.7,11.3,164
SCH,2007-09-28,14.6,11.5,164
SCH,2007-09-29,11.9,3.9,164
SCH,2007-09-30,13.0,0.0,164
SCH,2007-10-01,12.2,1.5,164
SCH,2007-10-02,12.0,0.0,164
SCH,2007-10-03,10.3,0.0,164
SCH,2007-10-04,11.1,0.3,164
SCH,2007-10-05,11.5,0.0,164
SCH,2007-10-06,9.0,0.0,164
SCH,2007-10-07,10.6,0.0,164
SCH,2007-10-08,9.3,0.0,164
SCH,2007-10-09,8.8,0.0,164
SCH,2007-10-10,7.9,0.0,164
SCH,2007-10-11,8.9,0.5,164
SCH,2007-10-12,11.3,0.1,164
SCH,2007-10-13,6.6,0.0,164
SCH,2007-10-14,5.6,0.0,164
SCH,2007-10-15,8.6,0.0,164
SCH,2007-10-16,11.6,0.0,164
SCH,2007-10-17,12.7,2.7,164
SCH,2007-10-18,8.1,0.4,164
SCH,2007-10-19,4.8,1.3,164
SCH,2007-10-20,4.8,0.4,164
SCH,2007-10-21,3.8,0.0,164
